avgR,avgG,avgB,varR,varG,varB,label
9.653014e+01,8.258592e+01,8.086426e+01,5.159665e+01,3.838376e+01,3.083360e+01,0
1.728672e+02,1.534589e+02,1.472008e+02,3.809831e+01,3.692306e+01,4.098813e+01,0
1.237334e+02,8.648680e+01,3.593953e+01,6.263309e+01,5.420106e+01,3.026056e+01,0
1.020951e+02,1.106352e+02,1.089847e+02,7.032445e+01,7.377891e+01,8.157034e+01,0
1.267768e+02,7.766127e+01,3.443777e+01,6.224888e+01,3.165294e+01,7.359172e+00,0
6.619038e+01,5.363873e+01,7.083270e+01,5.862623e+01,5.120744e+01,4.870020e+01,0
8.208832e+01,8.014674e+01,1.332693e+02,4.996577e+01,4.337556e+01,4.483303e+01,0
1.131191e+02,1.466418e+02,1.412629e+02,6.841015e+01,6.989944e+01,7.374400e+01,0
5.127455e+01,1.490566e+02,1.374352e+02,2.066533e+01,4.518134e+01,4.924300e+01,0
7.453413e+01,1.329733e+02,1.345965e+02,4.548307e+01,5.430541e+01,7.851711e+01,0
1.132587e+02,1.375611e+02,1.329882e+02,5.992190e+01,7.002487e+01,7.672675e+01,0
1.035244e+02,1.280109e+02,1.410032e+02,8.352514e+01,5.878970e+01,4.054106e+01,0
8.663345e+01,1.357877e+02,1.400794e+02,5.497647e+01,6.261547e+01,8.157167e+01,0
7.551320e+01,1.087862e+02,1.596956e+02,6.415556e+01,5.459243e+01,6.644488e+01,0
6.646797e+01,1.071269e+02,1.396452e+02,5.346467e+01,5.522738e+01,6.714273e+01,0
9.796774e+01,1.206620e+02,1.450823e+02,3.797937e+01,5.227011e+01,7.744074e+01,0
5.471344e+01,7.607629e+01,9.034935e+01,5.513931e+01,5.082386e+01,5.260577e+01,0
3.621339e+01,6.881181e+01,1.246810e+02,4.940280e+01,4.588560e+01,6.028179e+01,0
8.109058e+01,1.238997e+02,1.425473e+02,4.078279e+01,4.578691e+01,7.320561e+01,0
5.500633e+01,1.110257e+02,1.559026e+02,5.513117e+01,4.901621e+01,5.826227e+01,0
6.246623e+01,1.194856e+02,1.646856e+02,5.988259e+01,4.340452e+01,3.677728e+01,0
5.640121e+01,1.125743e+02,1.659001e+02,5.384431e+01,5.385302e+01,6.258780e+01,0
8.981360e+01,4.239209e+01,5.220090e+01,4.280556e+01,3.377137e+01,2.714446e+01,0
4.896448e+01,4.642145e+01,6.001787e+01,5.088840e+01,4.360735e+01,4.324710e+01,0
5.260274e+01,4.522519e+01,3.603114e+01,4.812627e+01,4.656634e+01,3.114087e+01,0
1.340272e+02,7.884061e+01,6.405064e+01,8.407849e+01,3.295627e+01,1.159941e+01,0
1.352493e+02,1.500795e+02,1.628573e+02,5.619502e+01,5.884412e+01,6.139283e+01,0
1.072247e+02,1.087519e+02,1.286707e+02,6.301500e+01,6.365068e+01,7.741111e+01,0
1.892173e+02,1.911280e+02,1.934348e+02,5.314072e+01,5.196853e+01,4.693540e+01,0
9.253998e+01,1.181719e+02,1.583732e+02,4.141504e+01,4.385916e+01,5.091606e+01,0
7.521701e+01,1.098172e+02,1.313657e+02,6.855623e+01,7.720276e+01,6.105869e+01,0
1.423681e+02,1.530574e+02,1.703003e+02,4.639150e+01,4.537976e+01,4.152241e+01,0
1.594789e+02,1.569848e+02,1.216864e+02,5.189932e+01,2.856096e+01,1.415297e+01,0
1.564896e+02,1.527079e+02,1.683344e+02,4.078986e+01,4.110446e+01,4.223664e+01,0
1.160092e+02,1.235225e+02,1.402794e+02,5.400474e+01,5.395783e+01,5.878741e+01,0
1.512625e+02,9.871370e+01,6.884225e+01,8.883872e+01,6.629262e+01,4.224307e+01,0
1.059922e+02,1.088149e+02,1.223029e+02,4.204998e+01,4.757409e+01,5.502995e+01,0
1.312058e+02,1.209365e+02,1.357539e+02,4.318873e+01,3.044845e+01,6.209714e+01,0
9.489856e+01,9.947389e+01,5.677687e+01,6.039953e+01,6.218605e+01,4.918080e+01,0
1.700125e+02,9.802931e+01,5.997198e+01,7.501253e+01,5.087941e+01,2.055362e+01,0
1.034676e+02,1.362221e+02,1.530095e+02,4.277378e+01,4.998884e+01,5.447668e+01,0
1.522466e+02,1.453710e+02,1.441871e+02,5.491091e+01,5.355846e+01,5.208561e+01,0
